                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210429"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                star_mdot                                num_zones               log_total_angular_momentum                                 log_Teff                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                 log_Ledd                           log_L_div_Ledd                    surface_optical_depth                           surf_avg_j_rot                           surf_avg_omega            surf_avg_omega_div_omega_crit                      surf_avg_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                            surf_escape_v                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                              cz_top_mass                            cz_top_radius                             cz_top_omega                             he_core_mass                           he_core_radius                            he_core_omega                              c_core_mass                            c_core_radius                             c_core_omega                                 log_Lnuc                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                             center_omega                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_si28                              surface_c12                              surface_n14                              surface_o16                             surface_fe56                           log_surface_h1                          log_surface_he4                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                       c_log_eps_burn_cno                        v_div_csound_surf                   surface_accel_div_grav                              num_retries                             k_const_mass                             q_const_mass                                  Gamma_e                                     vesc                                     vinf                                 w_vink01                             use_w_vink01                                 w_vink18                             use_w_vink18                                 w_leuven                             use_w_leuven                                w_krticka                            use_w_krticka                                 w_beasor                             use_w_beasor                                    w_kee                                use_w_kee                                 w_sander                             use_w_sander                                    f_rot                                Mdot_orig 
                                       1                  9.8821176880261898E+000                  3.9999998555599291E+001                 -1.4616307472567717E-007                                     2347                  5.2646822312110459E+001                  4.6433606772522360E+000                  4.3990680200324525E+004                  2.5831034289149838E+005                  8.7498922370138015E+000                  2.5831034289149838E+005                  5.4121417959169298E+000                  9.4200270431848965E-001                  8.7498922370138015E+000                  4.1561221943117346E+000                  5.7349084206043539E+000                 -3.2276662468742484E-001                  6.6666666666666663E-001                  4.2889503641114839E+018                  1.7535186933359804E-005                  1.5632245144819956E-001                  1.1217475960998770E-004                  1.0606215420995218E+002                  6.7848636429656301E+002                  1.3206521685523741E+008                  0.0000000000000000E+000                  1.0108095583712213E+000                  2.5383996459100093E+001                  3.3131493708221575E+000                  2.2434951921997542E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0166829718469037E+000                  2.5401275634498987E+001                  6.3459993439291718E-001                  7.8134383074690561E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8134383074690561E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2250849830722552E+034                  3.6494580670791378E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5620826628242241E+000                  3.7135607217504718E-001                  1.6214585776876611E+001                  5.9811506042500573E-001                  1.6816786947169971E-005                  7.4719954498221131E-001                  2.5080000525862806E-001                  2.5896875751271905E-004                  9.1217619938095546E-005                  9.3875270866188997E-004                  0.0000000000000000E+000                  2.6166917965572749E-004                  8.8063250334924245E-005                  9.3875713963674121E-004                  0.0000000000000000E+000                 -1.2656313677796299E-001                 -6.0067246784132122E-001                  2.9887987174475715E+001                  1.0031999773417388E+001                  1.3605167506738423E+000                  5.0165871055344358E+000                 -2.7854288268602360E+001                 -1.8104049719782079E+001                 -2.1885808429474732E+001                 -2.7683157504010630E+001                  5.0524576719301129E+000                  6.3899572599587497E-006                  7.0285660107382551E-012                                        0                                      639                  9.7989809777398684E-001                  4.4947688119075448E-035                  1.3206521685523741E+008                  3.4336956382361728E+008                  1.4442658491160134E-007                  1.0000000000000000E+000                  3.2419813627022222E-007                  0.0000000000000000E+000                  1.9417123202526452E-008                  0.0000000000000000E+000                  3.6371584979167330E-008                  0.0000000000000000E+000                  1.5348120276257745E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0073066065798204E+000                  1.4442658491160134E-007 
                                       2                  1.7787811838447144E+001                  3.9999997138751823E+001                 -1.7921860441204797E-007                                     3364                  5.2770369183666531E+001                  4.6394150078868890E+000                  4.3592824380913866E+004                  2.4698078745743539E+005                  8.7127395242400887E+000                  2.4698078745743539E+005                  5.3926631709691986E+000                  9.4015473057531840E-001                  8.7127395242400887E+000                  4.1598181264148497E+000                  5.7273482887949134E+000                 -3.3468511782571447E-001                  6.6666666666666663E-001                  5.4932743113677558E+018                  2.2556576529655050E-005                  1.9894893827689275E-001                  1.1338024345192489E-004                  1.3604157416986612E+002                  6.8380451910976012E+002                  1.3234649008132701E+008                  0.0000000000000000E+000                  1.0109040357919650E+000                  2.3850747221882699E+001                  3.1836550120786922E+000                  2.2676048690384980E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0066802392703238E+000                  2.3859892070822838E+001                  5.9626872319888746E-001                  7.8134385517181215E-008                  9.9999999482447843E-001                  9.9999997337554147E-001                  1.0000000000000000E+000                  7.8134385517181215E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2119070621034453E+034                  3.6363005713355649E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5616882825861538E+000                  3.7052018729216446E-001                  1.6213260726923025E+001                  5.9811525170388347E-001                  2.2404080101613697E-005                  7.4719916999827662E-001                  2.5080000972124133E-001                  2.5674409384198442E-004                  9.3816273079073701E-005                  9.3874903758556119E-004                  0.0000000000000000E+000                  2.6166917965572727E-004                  8.8063250334924096E-005                  9.3875713963674024E-004                  0.0000000000000000E+000                 -1.2656313677796338E-001                 -6.0067246784132144E-001                  2.9887976933070679E+001                  1.0031999527291342E+001                  1.3602181016873105E+000                  5.0065822065195116E+000                 -2.7876324518471190E+001                 -1.8120883017432035E+001                 -2.1888494348259503E+001                 -2.7699693425363218E+001                  5.0427458159423537E+000                 -2.1450739394967285E-006                 -1.1585335076292623E-011                                        0                                      585                  9.7989813248314295E-001                  4.2976272939723949E-035                  1.3234649008132702E+008                  3.4410087421145028E+008                  1.7708073663206783E-007                  1.0000000000000000E+000                  3.2419811168594156E-007                  0.0000000000000000E+000                  2.4271903452989974E-008                  0.0000000000000000E+000                  3.9405396542067968E-008                  0.0000000000000000E+000                  2.3893564990997205E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119021529632872E+000                  1.7708073663206783E-007 
                                       3                  2.4112367158783908E+001                  3.9999996112310860E+001                 -1.6229456462467340E-007                                     3364                  5.2775680057181980E+001                  4.6380727945363507E+000                  4.3458306097381726E+004                  2.4237701609332001E+005                  8.6846693659921925E+000                  2.4237701609332001E+005                  5.3844914345656161E+000                  9.3875328907460376E-001                  8.6846693659921925E+000                  4.1626209982718372E+000                  5.7248146983943782E+000                 -3.4032326382876227E-001                  6.6666666666666663E-001                  5.5146425960787804E+018                  2.2783528523149310E-005                  1.9892058527038306E-001                  1.1453729293541593E-004                  1.3698739157837625E+002                  6.8865666648664580E+002                  1.3256019772026615E+008                  0.0000000000000000E+000                  1.0110218504538455E+000                  2.4472581530233924E+001                  3.2358340091040674E+000                  2.2907458587083187E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0055118136783738E+000                  2.4477775368153818E+001                  6.1181459771947222E-001                  7.8134388847850289E-008                  9.9999999423200125E-001                  9.9999997478740221E-001                  1.0000000000000000E+000                  7.8134388847850289E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2105446097833051E+034                  3.6352109038076272E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5617839598662231E+000                  3.7083312811326213E-001                  1.6213662219585029E+001                  5.9811539584307971E-001                  2.2686686957312987E-005                  7.4719888721725625E-001                  2.5080001316865297E-001                  2.5506692655671685E-004                  9.5775408027430525E-005                  9.3874624926303389E-004                  0.0000000000000000E+000                  2.6166917965572754E-004                  8.8063250334924231E-005                  9.3875713963674143E-004                  0.0000000000000000E+000                 -1.2656313677796305E-001                 -6.0067246784132122E-001                  2.9887968839875889E+001                  1.0031999359050637E+001                  1.3622662232343594E+000                  5.0054130520821127E+000                 -2.7870763137911670E+001                 -1.8120476565456535E+001                 -2.1875829006437272E+001                 -2.7695596597034900E+001                  5.0415646136562620E+000                 -2.0399230466006875E-006                  1.9839630517517445E-013                                        0                                      585                  9.7989815762833476E-001                  4.2175187683514178E-035                  1.3256019772026615E+008                  3.4465651407269198E+008                  1.6037731666923543E-007                  1.0000000000000000E+000                  3.2419808757062963E-007                  0.0000000000000000E+000                  2.1775241839272046E-008                  0.0000000000000000E+000                  3.8199546866401354E-008                  0.0000000000000000E+000                  1.9265659429616814E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0118987133008877E+000                  1.6037731666923543E-007 
                                       4                  2.9172011415053316E+001                  3.9999995324680100E+001                 -1.5566919901928061E-007                                     3364                  5.2779883270449922E+001                  4.6373173270644310E+000                  4.3382774864447165E+004                  2.3976643546260020E+005                  8.6678762060982351E+000                  2.3976643546260020E+005                  5.3797883867960596E+000                  9.3791270013366546E-001                  8.6678762060982351E+000                  4.1643021676021199E+000                  5.7227182403483177E+000                 -3.4292985355225719E-001                  6.6666666666666663E-001                  5.5404397681866947E+018                  2.2973380069271491E-005                  1.9920920322068175E-001                  1.1532436495934310E-004                  1.3787533762114805E+002                  6.9211625659837875E+002                  1.3268854546799949E+008                  0.0000000000000000E+000                  1.0111100831316264E+000                  2.4013624116837519E+001                  3.1961342273640456E+000                  2.3064872991868622E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0044114113781646E+000                  2.4018890096699334E+001                  6.0034067309055539E-001                  7.8134391179318641E-008                  9.9999999423200125E-001                  9.9999997542372654E-001                  1.0000000000000000E+000                  7.8134391179318641E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2092433644647777E+034                  3.6341527206800797E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5618577106267244E+000                  3.7107680319146458E-001                  1.6213973480165834E+001                  5.9811551658959317E-001                  2.2915810401219899E-005                  7.4719865032486854E-001                  2.5080001611064623E-001                  2.5366223683801847E-004                  9.7416267648822326E-005                  9.3874390074923163E-004                  0.0000000000000000E+000                  2.6166917965572770E-004                  8.8063250334924285E-005                  9.3875713963674176E-004                  0.0000000000000000E+000                 -1.2656313677796280E-001                 -6.0067246784132056E-001                  2.9887962405343661E+001                  1.0031999234071016E+001                  1.3639415082557074E+000                  5.0043120164773480E+000                 -2.7866473694528551E+001                 -1.8120367950989831E+001                 -2.1865604747146993E+001                 -2.7692438312356483E+001                  5.0404584724970816E+000                 -1.5315303878031631E-006                  1.0585583556594984E-012                                        0                                      585                  9.7989817692328551E-001                  4.1720930383373751E-035                  1.3268854546799949E+008                  3.4499021821679866E+008                  1.5382865141567835E-007                  1.0000000000000000E+000                  3.2419807010019351E-007                  0.0000000000000000E+000                  2.0805890286734026E-008                  0.0000000000000000E+000                  3.7574903416595231E-008                  0.0000000000000000E+000                  1.7601909351719901E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119337845717105E+000                  1.5382865141567835E-007 
                                       5                  3.5243584522576612E+001                  3.9999994401947546E+001                 -1.5197586098783889E-007                                     3364                  5.2782700373202836E+001                  4.6366854260213985E+000                  4.3319698569428750E+004                  2.3749340910454019E+005                  8.6518322361242692E+000                  2.3749340910454019E+005                  5.3756515616272136E+000                  9.3710808963530678E-001                  8.6518322361242692E+000                  4.1659113785803950E+000                  5.7208575400605213E+000                 -3.4520597843330753E-001                  6.6666666666666663E-001                  5.5585147944441416E+018                  2.3129162269433000E-005                  1.9938919565543950E-001                  1.1600154637710173E-004                  1.3856506064295888E+002                  6.9495062395921047E+002                  1.3281151586619310E+008                  0.0000000000000000E+000                  1.0111794080574430E+000                  2.3920700001451070E+001                  3.1874916895529517E+000                  2.3200309275420346E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0032964481014490E+000                  2.3927572021050388E+001                  5.9801758372962177E-001                  7.8134394065898505E-008                  9.9999999423200125E-001                  9.9999997539248531E-001                  1.0000000000000000E+000                  7.8134394065898505E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2079555984011105E+034                  3.6331330889373059E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5619595705503224E+000                  3.7140136130193541E-001                  1.6214394661784610E+001                  5.9811566134470795E-001                  2.3076151652260076E-005                  7.4719836631208214E-001                  2.5080001971987687E-001                  2.5197861892242371E-004                  9.9382969715818378E-005                  9.3874106513155292E-004                  0.0000000000000000E+000                  2.6166917965572754E-004                  8.8063250334924218E-005                  9.3875713963674121E-004                  0.0000000000000000E+000                 -1.2656313677796299E-001                 -6.0067246784132078E-001                  2.9887954718857500E+001                  1.0031999091513581E+001                  1.3660332209031294E+000                  5.0031963165030300E+000                 -2.7860566454991513E+001                 -1.8119802311986767E+001                 -2.1852997428096185E+001                 -2.7688080815303916E+001                  5.0393273523142614E+000                 -1.2235256369567820E-006                  5.3126443304528812E-013                                        0                                      585                  9.7989819952788737E-001                  4.1325409860703189E-035                  1.3281151586619310E+008                  3.4530994125210208E+008                  1.5017646026267348E-007                  1.0000000000000000E+000                  3.2419805669440295E-007                  0.0000000000000000E+000                  2.0267692489094824E-008                  0.0000000000000000E+000                  3.7209780103903444E-008                  0.0000000000000000E+000                  1.6710341751048490E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119556839726351E+000                  1.5017646026267348E-007 
                                       6                  4.2529472251604560E+001                  3.9999993317825776E+001                 -1.4879748457178701E-007                                     3364                  5.2785031429263228E+001                  4.6361428665497257E+000                  4.3265613522265274E+004                  2.3546337798989593E+005                  8.6363276969787268E+000                  2.3546337798989593E+005                  5.3719233701753799E+000                  9.3632911285273546E-001                  8.6363276969787268E+000                  4.1674693203748330E+000                  5.7191682047444203E+000                 -3.4724483456904032E-001                  6.6666666666666663E-001                  5.5717463328381624E+018                  2.3263477030775728E-005                  1.9950413936281747E-001                  1.1660794541432697E-004                  1.3913019312774406E+002                  6.9738289074176078E+002                  1.3293067686470088E+008                  0.0000000000000000E+000                  1.0112367216213909E+000                  2.3804049077064171E+001                  3.1766780607123946E+000                  2.3321589082865393E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0020212625886042E+000                  2.3806899259033163E+001                  5.9510132634087276E-001                  7.8134396952478369E-008                  9.9999999393576255E-001                  9.9999997539248531E-001                  1.0000000000000000E+000                  7.8134396952478369E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2064959886353275E+034                  3.6319849685250051E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5620873442998580E+000                  3.7180423919110250E-001                  1.6214919906895286E+001                  5.9811583527617551E-001                  2.3214417087731399E-005                  7.4719802503552968E-001                  2.5080002417708896E-001                  2.4995624541101309E-004                  1.0174541263936684E-004                  9.3873762837699750E-004                  0.0000000000000000E+000                  2.6166917965572743E-004                  8.8063250334924218E-005                  9.3875713963674100E-004                  0.0000000000000000E+000                 -1.2656313677796313E-001                 -6.0067246784132122E-001                  2.9887945537302148E+001                  1.0031998928884898E+001                  1.3685840020193862E+000                  5.0019202448694235E+000                 -2.7853163547737779E+001                 -1.8118966748697662E+001                 -2.1837871017946981E+001                 -2.7682616937906410E+001                  5.0380293398275589E+000                 -9.8833725170682194E-007                  3.3543175112909398E-013                                        0                                      585                  9.7989822608611599E-001                  4.0972172251164981E-035                  1.3293067686470088E+008                  3.4561975984822232E+008                  1.4703419049334660E-007                  1.0000000000000000E+000                  3.2419804098912573E-007                  0.0000000000000000E+000                  1.9805811539702112E-008                  0.0000000000000000E+000                  3.6878654766030251E-008                  0.0000000000000000E+000                  1.5963524508749414E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119696803526936E+000                  1.4703419049334660E-007 
                                       7                  5.1272537526438093E+001                  3.9999992041435654E+001                 -1.4598885989581568E-007                                     3364                  5.2787033982614005E+001                  4.6356752368549268E+000                  4.3219052035144072E+004                  2.3362950913863664E+005                  8.6211764798706465E+000                  2.3362950913863664E+005                  5.3685276965169253E+000                  9.3556653541310553E-001                  8.6211764798706465E+000                  4.1689944613958607E+000                  5.7176182067611254E+000                 -3.4909051024420024E-001                  6.6666666666666663E-001                  5.5819071501639414E+018                  2.3384296735297909E-005                  1.9958319219311285E-001                  1.1716710871715276E-004                  1.3961655652011723E+002                  6.9954353607689507E+002                  1.3304743243898748E+008                  0.0000000000000000E+000                  1.0112856694221604E+000                  2.3698506017801591E+001                  3.1666146387409055E+000                  2.3433421743430554E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0005210144569183E+000                  2.3699459892670326E+001                  5.9246276832386646E-001                  7.8134399394969023E-008                  9.9999999393576255E-001                  9.9999997539248531E-001                  1.0000000000000000E+000                  7.8134399394969023E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2047875349732710E+034                  3.6306494020672467E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5622446114972206E+000                  3.7229731078830192E-001                  1.6215564357261982E+001                  5.9811604399725371E-001                  2.3338960095454035E-005                  7.4719761547116259E-001                  2.5080002970257542E-001                  2.4753023428988907E-004                  1.0457940561932444E-004                  9.3873346075187781E-004                  0.0000000000000000E+000                  2.6166917965572722E-004                  8.8063250334924150E-005                  9.3875713963674035E-004                  0.0000000000000000E+000                 -1.2656313677796358E-001                 -6.0067246784132144E-001                  2.9887934572875366E+001                  1.0031998743739866E+001                  1.3716773281881853E+000                  5.0004189224667392E+000                 -2.7844057718803295E+001                 -1.8117868423033450E+001                 -2.1819881739750539E+001                 -2.7675893842200406E+001                  5.0364995368850147E+000                 -8.0705890462103553E-007                  2.1391533808251059E-013                                        0                                      585                  9.7989825735443281E-001                  4.0653068339332863E-035                  1.3304743243898748E+008                  3.4592332434136748E+008                  1.4425788805472231E-007                  1.0000000000000000E+000                  3.2419802253694014E-007                  0.0000000000000000E+000                  1.9398579356255187E-008                  0.0000000000000000E+000                  3.6572575191167011E-008                  0.0000000000000000E+000                  1.5319116316773736E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119793116665980E+000                  1.4425788805472231E-007 
                                       8                  6.1764215856238337E+001                  3.9999990536125601E+001                 -1.4347657292530058E-007                                     3364                  5.2788793289680029E+001                  4.6352760220276359E+000                  4.3179342208005459E+004                  2.3196699678455107E+005                  8.6062551349572107E+000                  2.3196699678455107E+005                  5.3654261998308499E+000                  9.3481421672464926E-001                  8.6062551349572107E+000                  4.1704990824290737E+000                  5.7161912168218745E+000                 -3.5076501699102480E-001                  6.6666666666666663E-001                  5.5899855195999283E+018                  2.3496171099682037E-005                  1.9964229212766255E-001                  1.1769278881142461E-004                  1.4005000087226233E+002                  7.0150753274194801E+002                  1.3316271741021957E+008                  0.0000000000000000E+000                  1.0113286506087036E+000                  2.3592490711832614E+001                  3.1562865614003077E+000                  2.3538557762284923E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9987228608631114E+000                  2.3594049545949773E+001                  5.8981240734357887E-001                  7.8134402281548887E-008                  9.9999999393576255E-001                  9.9999997539248531E-001                  1.0000000000000000E+000                  7.8134402281548887E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2027431430137773E+034                  3.6290507743898361E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5624363349304620E+000                  3.7289646280122946E-001                  1.6216348587409527E+001                  5.9811629429276836E-001                  2.3454639601624034E-005                  7.4719712429022200E-001                  2.5080003658841610E-001                  2.4462228931001432E-004                  1.0797643703879842E-004                  9.3872839910278815E-004                  0.0000000000000000E+000                  2.6166917965572716E-004                  8.8063250334924123E-005                  9.3875713963674002E-004                  0.0000000000000000E+000                 -1.2656313677796363E-001                 -6.0067246784132167E-001                  2.9887921485550269E+001                  1.0031998533808478E+001                  1.3754190648233118E+000                  4.9986194580829606E+000                 -2.7832962477731289E+001                 -1.8116499823664547E+001                 -2.1798615868183159E+001                 -2.7667699846482932E+001                  5.0346646240539705E+000                 -6.6398448691814948E-007                  1.3971928400430442E-013                                        0                                      585                  9.7989829423070895E-001                  4.0363781794531762E-035                  1.3316271741021958E+008                  3.4622306526657093E+008                  1.4177474768148085E-007                  1.0000000000000000E+000                  3.2419800081227209E-007                  0.0000000000000000E+000                  1.9034959029167402E-008                  0.0000000000000000E+000                  3.6286585551672899E-008                  0.0000000000000000E+000                  1.4754849150470406E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119865149000860E+000                  1.4177474768148085E-007 
                                       9                  7.4354229851998639E+001                  3.9999988758162019E+001                 -1.4122014290555967E-007                                     3364                  5.2790353809492601E+001                  4.6349435273799156E+000                  4.3146296874999622E+004                  2.3046384859583268E+005                  8.5914706563431942E+000                  2.3046384859583268E+005                  5.3626028100437306E+000                  9.3406751112653030E-001                  8.5914706563431942E+000                  4.1719924743213124E+000                  5.7148800353170204E+000                 -3.5227722527328914E-001                  6.6666666666666663E-001                  5.5965367415765146E+018                  2.3601785924047162E-005                  1.9969072751503106E-001                  1.1819312572019162E-004                  1.4044543656496160E+002                  7.0331759976506612E+002                  1.3327724053959665E+008                  0.0000000000000000E+000                  1.0113667952748813E+000                  2.3486003178090964E+001                  3.1456489334310591E+000                  2.3638625144038325E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9965413010267845E+000                  2.3487415665616080E+001                  5.8715024446847208E-001                  7.8134406611418683E-008                  9.9999999393576255E-001                  9.9999997539248531E-001                  1.0000000000000000E+000                  7.8134406611418683E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2002610636012012E+034                  3.6271141203314602E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5626689169356140E+000                  3.7362188704270127E-001                  1.6217298919744138E+001                  5.9811659420307239E-001                  2.3564367362018569E-005                  7.4719653569159727E-001                  2.5080004522205207E-001                  2.4113983145297412E-004                  1.1204469381044646E-004                  9.3872223993505339E-004                  0.0000000000000000E+000                  2.6166917965572760E-004                  8.8063250334924272E-005                  9.3875713963674165E-004                  0.0000000000000000E+000                 -1.2656313677796260E-001                 -6.0067246784132089E-001                  2.9887905874880584E+001                  1.0031998297260483E+001                  1.3799399390972162E+000                  4.9964362898672752E+000                 -2.7819508884350054E+001                 -1.8114842805913035E+001                 -2.1773599602351624E+001                 -2.7657762056488082E+001                  5.0324382770223046E+000                 -5.4945841686561158E-007                  9.2572036010814226E-014                                        0                                      585                  9.7989833778630808E-001                  4.0102225914375091E-035                  1.3327724053959665E+008                  3.4652082540295130E+008                  1.3954462063110990E-007                  1.0000000000000000E+000                  3.2419797519129489E-007                  0.0000000000000000E+000                  1.8708799216431974E-008                  0.0000000000000000E+000                  3.6018008037062106E-008                  0.0000000000000000E+000                  1.4257649557787800E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0119924201193942E+000                  1.3954462063110990E-007 
