                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211201"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      442                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.9053167893316655E-004                  9.9993974681875131E-001                  1.7016144050706586E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                  9.9993974681875131E-001                  1.7016144050706586E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                 -2.1721823230161643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1721823230161643E+001                 -2.1721823230161643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5709114511030307E+000                  4.1298983518276033E+000                  2.4463851101603669E+000                  6.2430037914001557E-001                 -8.8904318811144589E-001                  8.3681477733280509E+000                 -5.2758173703911782E+000                  5.4779275154453062E+000                  6.2095156604136825E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059680E-003                  9.3604492797742123E-003                  3.4416073257059697E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        5 
                                       5                                      440                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.8943790727395359E-004                  9.9994313825860293E-001                  1.7016144029137032E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                  9.9994313825860293E-001                  1.7016144029137032E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                 -2.1721816060651889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1721816060651889E+001                 -2.1721816060651889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5700114397760307E+000                  4.1262516401189284E+000                  2.4463617769600297E+000                  6.2434704554069076E-001                 -7.9235320225424755E-001                  8.3681493018009157E+000                 -5.2758146292315740E+000                  5.4779267502132427E+000                  6.2095156593267065E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059671E-003                  9.3604492797742123E-003                  3.4416073257059689E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        5 
                                      10                                      459                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.8575696222818177E-004                  9.9995066325924731E-001                  1.7016141820710596E-003                  3.8227816808291345E-005                  7.8144698512640862E-008                  9.9995066325924731E-001                  1.7016141820710596E-003                  3.8227816808291345E-005                  7.8144698512640862E-008                 -2.1721797451753009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1721797451753009E+001                 -2.1721797451753009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5679084582406535E+000                  4.1177352855821230E+000                  2.4463095627623814E+000                  6.2445147393598677E-001                 -5.5997871794395582E-001                  8.3681532541273906E+000                 -5.2758084591107615E+000                  5.4779254318618014E+000                  6.2095156573748600E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059667E-003                  9.3604492797742141E-003                  3.4416073257059676E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        5 
                                      15                                      442                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.7279203593154659E-004                  9.9996367287793853E-001                  1.7016119479410651E-003                  3.8227816808291345E-005                  7.8144698512640862E-008                  9.9996367287793853E-001                  1.7016119479410651E-003                  3.8227816808291345E-005                  7.8144698512640862E-008                 -2.1721760157510779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1721760157510779E+001                 -2.1721760157510779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5647002294427614E+000                  4.1047694770360357E+000                  2.4462431160851215E+000                  6.2458436729050681E-001                 -2.1367836560355724E-001                  8.3681611088248999E+000                 -5.2757988527915050E+000                  5.4779247225161098E+000                  6.2095156559949227E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059645E-003                  9.3604492797742123E-003                  3.4416073257059667E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        5 
                                      20                                      442                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.1259476921352620E-004                  9.9996685401142404E-001                  1.7015940062142050E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                  9.9996685401142404E-001                  1.7015940062142050E-003                  3.8227816808069300E-005                  7.8144698290596257E-008                 -2.1721692517489117E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1721692517489117E+001                 -2.1721692517489117E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5618648041073948E+000                  4.0934355069615060E+000                  2.4462469817185903E+000                  6.2457663602356939E-001                  1.0093801182793528E-001                  8.3681749732153552E+000                 -5.2757863951016217E+000                  5.4779267067351833E+000                  6.2095156578076027E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059645E-003                  9.3604492797742141E-003                  3.4416073257059667E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        5 
                                      25                                      442                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.5869665295246312E-004                  9.9996685401142404E-001                  2.3760860007290553E-004                  2.4115168979489535E-005                  7.8144698289932184E-008                  9.9996685401142404E-001                  2.3760860007290553E-004                  2.4115168979489535E-005                  7.8144698289932184E-008                 -2.1721562714947481E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1721562714947481E+001                 -2.1721562714947481E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5617996280909181E+000                  4.0936678533185207E+000                  2.4464935069300506E+000                  6.2408358560064880E-001                  2.2935952605985024E-001                  8.3682003825626818E+000                 -5.2757684891695416E+000                  5.4779338866236404E+000                  6.2095156657303385E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059628E-003                  9.3604492797742123E-003                  3.4416073257059658E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769877E+000                                        0                                        0                                        3 
                                      30                                      442                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.4337451863887817E-004                  9.9996685401142404E-001                  2.5566473086821833E-004                  2.4115168979489535E-005                  7.8144698289932184E-008                  9.9996685401142404E-001                  2.5566473086821833E-004                  2.4115168979489535E-005                  7.8144698289932184E-008                 -2.1721273883050664E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1721273883050664E+001                 -2.1721273883050664E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5653335216008397E+000                  4.1091799517311074E+000                  2.4471817691165012E+000                  6.2270706122774766E-001                  2.1253571656381071E-001                  8.3682552467567444E+000                 -5.2757328383680990E+000                  5.4779515563451362E+000                  6.2095156852920219E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059628E-003                  9.3604492797742141E-003                  3.4416073257059658E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        3 
                                      35                                      442                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  2.8548157148617460E-004                  9.9995395885323879E-001                  2.3674838407397407E-004                  1.7058845065210363E-005                  7.8144698289905079E-008                  9.9995395885323879E-001                  2.3674838407397407E-004                  1.7058845065210363E-005                  7.8144698289905079E-008                 -2.1720606199483534E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1720606199483534E+001                 -2.1720606199483534E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5709385782976577E+000                  4.1341800168272398E+000                  2.4484716882709305E+000                  6.2012722291888844E-001                  1.4429782882310901E-001                  8.3683820612616664E+000                 -5.2756512394516530E+000                  5.4779929777172365E+000                  6.2095157291493308E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059606E-003                  9.3604492797742123E-003                  3.4416073257059658E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        3 
                                      40                                      461                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  1.2105259178809252E-004                  9.9994313825860293E-001                  2.3952540997905180E-004                  1.0002521150920799E-005                  7.8144698279486573E-008                  9.9994313825860293E-001                  2.3952540997905180E-004                  1.0002521150920799E-005                  7.8144698279486573E-008                 -2.1719089425786454E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1719089425786454E+001                 -2.1719089425786454E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5759903048813948E+000                  4.1580954618672701E+000                  2.4503259576234724E+000                  6.1641868421380486E-001                  7.4484533339582909E-002                  8.3686774259860872E+000                 -5.2754612215326731E+000                  5.4780894765538788E+000                  6.2095158198440814E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059602E-003                  9.3604492797742141E-003                  3.4416073257059650E-003                  9.3604492797742123E-003                  8.4000000000000057E+000                  3.3596424283769881E+000                                        0                                        0                                        3 
