                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211205"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      440                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.6250764876552649E-004                  9.9995784456870029E-001                  1.8226287364681872E-002                  7.4535193368794883E-003                  1.7142848799313567E-003                  9.9995784456870029E-001                  1.8226287364681872E-002                  7.4535193368794883E-003                  1.7142848799313567E-003                 -2.1618205484974407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1618205484974407E+001                 -2.1618205484974407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6419222463804588E+000                  4.3728411033964179E+000                  2.4258348953899174E+000                  6.6540080868091545E-001                 -3.8321641515247767E-001                  8.4229453769556972E+000                 -5.2365727893831684E+000                  5.4777701547811830E+000                  5.9282391037839732E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056119E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                       5                                      440                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.5604570438721186E-004                  9.9995784456870029E-001                  1.8226189515083591E-002                  7.4535193368794883E-003                  1.7142853960435908E-003                  9.9995784456870029E-001                  1.8226189515083591E-002                  7.4535193368794883E-003                  1.7142853960435908E-003                 -2.1618197667715236E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1618197667715236E+001                 -2.1618197667715236E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6417425903035334E+000                  4.3720967596361282E+000                  2.4258220356636238E+000                  6.6542652813350278E-001                 -3.6766109389160156E-001                  8.4229470475661579E+000                 -5.2365701173752921E+000                  5.4777695120029364E+000                  5.9282391038181548E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056139E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                      10                                      421                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  7.3455394711147354E-004                  9.9995784456870063E-001                  1.8225925293886287E-002                  7.4535193368799324E-003                  1.7142900554902006E-003                  9.9995784456870063E-001                  1.8225925293886287E-002                  7.4535193368799324E-003                  1.7142900554902006E-003                 -2.1618178022176537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1618178022176537E+001                 -2.1618178022176537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413321360679256E+000                  4.3703993912171128E+000                  2.4257942599253308E+000                  6.6548207961008810E-001                 -2.4873337560543746E-001                  8.4229512811546368E+000                 -5.2365641029611369E+000                  5.4777684487116840E+000                  5.9282391038787607E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056160E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                      15                                      437                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  6.6216728415919148E-004                  9.9995784456870029E-001                  1.8225343825521642E-002                  7.4535193368794883E-003                  1.7143101674440431E-003                  9.9995784456870029E-001                  1.8225343825521642E-002                  7.4535193368794883E-003                  1.7143101674440431E-003                 -2.1618139597016015E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1618139597016015E+001                 -2.1618139597016015E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6407100555633543E+000                  4.3678438259597465E+000                  2.4257606383057913E+000                  6.6554932284916701E-001                 -8.1860036187772767E-002                  8.4229595848855681E+000                 -5.2365546510657914E+000                  5.4777681154161346E+000                  5.9282391039170379E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056187E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                      20                                      421                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.6195735714430521E-004                  9.9995784456870063E-001                  1.7143553707182806E-003                  2.4253450662862994E-005                  7.8141523460132122E-008                  9.9995784456870063E-001                  1.7143553707182806E-003                  2.4253450662862994E-005                  7.8141523460132122E-008                 -2.1618069973633645E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1618069973633645E+001                 -2.1618069973633645E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6401732244997582E+000                  4.3657103581969858E+000                  2.4257675665516025E+000                  6.6553546635754457E-001                  4.9918856588344156E-002                  8.4229742311990705E+000                 -5.2365420821503292E+000                  5.4777705934477732E+000                  5.9282391038434301E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056207E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                      25                                      438                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  4.4080889379599858E-004                  9.9995784456870029E-001                  1.7143025396504387E-003                  2.4253450662640950E-005                  7.8141523238087517E-008                  9.9995784456870029E-001                  1.7143025396504387E-003                  2.4253450662640950E-005                  7.8141523238087517E-008                 -2.1617931105428983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1617931105428983E+001                 -2.1617931105428983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6402044924297310E+000                  4.3661178870686754E+000                  2.4259087951275013E+000                  6.6525300920574693E-001                  1.0934266460596420E-001                  8.4230013931800585E+000                 -5.2365230338157156E+000                  5.4777783734003469E+000                  5.9282391035597026E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056234E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        5 
                                      30                                      421                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  2.8206204824668337E-004                  9.9995784456870063E-001                  3.8641809854165956E-004                  1.7127782809819110E-005                  7.8141523467077793E-008                  9.9995784456870063E-001                  3.8641809854165956E-004                  1.7127782809819110E-005                  7.8141523467077793E-008                 -2.1617612941134769E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1617612941134769E+001                 -2.1617612941134769E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6410510305351007E+000                  4.3702912752637975E+000                  2.4263024130143238E+000                  6.6446577343210222E-001                  1.0193920816519338E-001                  8.4230606733250575E+000                 -5.2364836078484300E+000                  5.4777969569339247E+000                  5.9282391028629189E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056255E-005                  9.3604492797731774E-005                  9.1128000000000036E+000                  2.8844929992208130E+000                                        0                                        0                                        3 
                                      35                                      438                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  1.1994503841920107E-004                  9.9995784456870029E-001                  8.6195785767988133E-004                  5.0010574799167445E-006                  7.8141525030936075E-008                  9.9995784456870029E-001                  8.6195785767988133E-004                  5.0010574799167445E-006                  7.8141525030936075E-008                 -2.1616853588434363E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1616853588434363E+001                 -2.1616853588434363E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6424250517306747E+000                  4.3772670526594277E+000                  2.4270422593209906E+000                  6.6298608081876886E-001                  6.9709778791182855E-002                  8.4232014441482121E+000                 -5.2363904389209850E+000                  5.4778414264414765E+000                  5.9282391011720414E-001                  8.7970426389971090E-001                  1.2202349248184678E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056275E-005                  9.3604492797731774E-005                  9.1128000000000071E+000                  2.8844929992208130E+000                                        0                                        0                                        3 
                                      40                                      438                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.2000000000000000E+001                  3.4377859696607807E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9995784456870029E-001                  9.5502135922999082E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9995784456870029E-001                  9.5502135922999082E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1615056813519864E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1615056813519864E+001                 -2.1615056813519864E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6436829836935969E+000                  4.3843767618262248E+000                  2.4280812499785451E+000                  6.6090809950365947E-001                  3.4752201190022390E-002                  8.4235396434170333E+000                 -5.2361663536375529E+000                  5.4779480770981843E+000                  5.9282390969998844E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056275E-005                  9.3604492797731787E-005                  9.1128000000000018E+000                  2.8844929992208130E+000                                        0                                        0                                        3 
