                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211201"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      454                  1.0000000000000001E-005                 -4.9999999999999991E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  6.0172552973902641E-004                  9.9995399934903728E-001                  2.0274052162716105E-002                  5.9687364896280348E-003                  1.7183297383397736E-003                  9.9995399934903728E-001                  2.0274052162716105E-002                  5.9687364896280348E-003                  1.7183297383397736E-003                 -2.1677676578156770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677676578156770E+001                 -2.1677676578156770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5806346331152725E+000                  3.9653402903967168E+000                  2.3446597154204403E+000                  7.0281243201156895E-001                 -7.9959916443570667E-001                  8.5457985189445296E+000                 -5.0836404759374920E+000                  5.4774745870004287E+000                  6.2094857540308324E-001                  8.5000496627254229E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059676E-003                  9.3604492797742106E-003                  6.3000000000000007E+000                  2.5197318212827406E+000                                        0                                        0                                        5 
                                       5                                      453                  7.4416000000000000E-005                 -4.6832750158095005E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  6.0097602607908727E-004                  9.9995399934903728E-001                  2.0274042725665839E-002                  5.9687364896280348E-003                  1.7183296924034557E-003                  9.9995399934903728E-001                  2.0274042725665839E-002                  5.9687364896280348E-003                  1.7183296924034557E-003                 -2.1677672266631468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677672266631468E+001                 -2.1677672266631468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5797187157442214E+000                  3.9616222784677086E+000                  2.3446325441980376E+000                  7.0286677445637502E-001                 -7.2311489480852575E-001                  8.5457995696693185E+000                 -5.0836386076860709E+000                  5.4774739858898824E+000                  6.2094857661681291E-001                  8.5000496627254229E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059667E-003                  9.3604492797742106E-003                  6.3000000000000007E+000                  2.5197318212827406E+000                                        0                                        0                                        5 
                                      10                                      452                  2.5958682111999992E-004                 -4.2873687855713767E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  5.9844427327937380E-004                  9.9995399934903728E-001                  2.0274016852569698E-002                  5.9687364896280348E-003                  1.7183294056500593E-003                  9.9995399934903728E-001                  2.0274016852569698E-002                  5.9687364896280348E-003                  1.7183294056500593E-003                 -2.1677660844499052E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677660844499052E+001                 -2.1677660844499052E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5775725342378619E+000                  3.9529115376125068E+000                  2.3445695367831565E+000                  7.0299278928613695E-001                 -5.3929735299319848E-001                  8.5458022890505561E+000                 -5.0836344192737002E+000                  5.4774729473258343E+000                  6.2094857873322185E-001                  8.5000496627254229E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059658E-003                  9.3604492797742123E-003                  6.3000000000000007E+000                  2.5197318212827406E+000                                        0                                        0                                        5 
                                      15                                      455                  7.2035107872931792E-004                 -3.8914625553332525E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  5.8946077339042775E-004                  9.9995664302406928E-001                  2.0273957893890755E-002                  5.9687364896282569E-003                  1.7183274662025080E-003                  9.9995664302406928E-001                  2.0273957893890755E-002                  5.9687364896282569E-003                  1.7183274662025080E-003                 -2.1677636916943314E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677636916943314E+001                 -2.1677636916943314E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5742287217672999E+000                  3.9393522830014387E+000                  2.3444775344187461E+000                  7.0317679401495781E-001                 -2.6266531047990677E-001                  8.5458077147462959E+000                 -5.0836279214508728E+000                  5.4774723615013343E+000                  6.2094858001028963E-001                  8.5000496627254229E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059645E-003                  9.3604492797742106E-003                  6.3000000000000007E+000                  2.5197318212827406E+000                                        0                                        0                                        5 
                                      20                                      453                  1.8668799962237360E-003                 -3.4955563250951283E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  5.4722451429204007E-004                  9.9996236308938247E-001                  1.6247836002726879E-002                  5.9687364896280348E-003                  1.7183136034835118E-003                  9.9996236308938247E-001                  1.6247836002726879E-002                  5.9687364896280348E-003                  1.7183136034835118E-003                 -2.1677589880247481E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677589880247481E+001                 -2.1677589880247481E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5708756988127348E+000                  3.9258266926146965E+000                  2.3444207851345049E+000                  7.0329029258343956E-001                 -1.3702077778589674E-002                  8.5458174406590004E+000                 -5.0836194171927653E+000                  5.4774738248689774E+000                  6.2094857731777420E-001                  8.5000496627254229E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059641E-003                  9.3604492797742123E-003                  6.3000000000000007E+000                  2.5197318212827406E+000                                        0                                        0                                        5 
                                      25                                      453                  4.7198108322034464E-003                 -3.0996500948570045E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  3.4816593322759394E-004                  9.9997043737158364E-001                  1.6245307731023437E-002                  5.9687364896303125E-003                  2.4114761098378875E-004                  9.9997043737158364E-001                  1.6245307731023437E-002                  5.9687364896303125E-003                  2.4114761098378875E-004                 -2.1677494001099369E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677494001099369E+001                 -2.1677494001099369E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5696529591421675E+000                  3.9211752444411792E+000                  2.3445405403888806E+000                  7.0305078207468841E-001                  1.0451100175177735E-001                  8.5458355441437828E+000                 -5.0836069428333310E+000                  5.4774792314845504E+000                  6.2094856698838374E-001                  8.5000496627254207E-001                  1.2966439686859803E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059628E-003                  9.3604492797742106E-003                  6.2999999999999972E+000                  2.5197318212827398E+000                                        0                                        0                                        2 
                                      30                                      452                  1.1818815689988476E-002                 -2.7037438646188803E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  3.4215335850342913E-004                  9.9996643574744071E-001                  2.3981274802684720E-004                  2.4343260017225670E-005                  7.8130258297846717E-008                  9.9996643574744071E-001                  2.3981274802684720E-004                  2.4343260017225670E-005                  7.8130258297846717E-008                 -2.1677277591994979E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1677277591994979E+001                 -2.1677277591994979E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5713846343011109E+000                  3.9289936386007009E+000                  2.3449863871507546E+000                  7.0215908855094089E-001                  1.1041936263361220E-001                  8.5458744604106816E+000                 -5.0835821076941583E+000                  5.4774924373692899E+000                  6.2094854164438817E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059615E-003                  9.3604492797742141E-003                  6.2999999999999972E+000                  2.5197318212827398E+000                                        0                                        0                                        3 
                                      35                                      453                  2.9483411457712123E-002                 -2.3078376343807565E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.1867173258141394E-004                  9.9995821807189289E-001                  2.3952990115035062E-004                  1.7171965976759270E-005                  7.8130258834927968E-008                  9.9995821807189289E-001                  2.3952990115035062E-004                  1.7171965976759270E-005                  7.8130258834927968E-008                 -2.1676777072422116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1676777072422116E+001                 -2.1676777072422116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5748497367961294E+000                  3.9445649942936605E+000                  2.3458418600071966E+000                  7.0044814283805623E-001                  7.4506274543754331E-002                  8.5459643969694632E+000                 -5.0835252457229680E+000                  5.4775233823849110E+000                  6.2094848222641896E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059606E-003                  9.3604492797742106E-003                  6.2999999999999972E+000                  2.5197318212827406E+000                                        0                                        0                                        3 
                                      40                                      452                  7.3438578398454205E-002                 -1.9119314041426323E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  1.4344103790860238E-004                  9.9995664302406928E-001                  2.3949213166199996E-004                  1.0000671936272389E-005                  7.8130259351507832E-008                  9.9995664302406928E-001                  2.3949213166199996E-004                  1.0000671936272389E-005                  7.8130259351507832E-008                 -2.1675634729730227E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1675634729730227E+001                 -2.1675634729730227E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5780226695872082E+000                  3.9596228008645356E+000                  2.3470248977104773E+000                  6.9808206743149492E-001                  3.6558485756526218E-002                  8.5461750535080814E+000                 -5.0833921027985056E+000                  5.4775958986557756E+000                  6.2094834296738399E-001                  8.5000496627254229E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059598E-003                  9.3604492797742123E-003                  6.2999999999999972E+000                  2.5197318212827406E+000                                        0                                        0                                        3 
